Country,"Government revenue as % of GDP
2015–2023 (R)",Over All Expenditure_GDP,Health Expenditure_GDP,Education Expenditure_GDP,social protection expenditure_GDP,Health_budget,education_budget,social protection_budget,ODA inflow,ODA inflow_GNI,ODA outflow,Ouflow as a % of donor GNI,GDP per Capita
SierraLeone,,8.8,1.9,8.8,1.0,6.9,29.4,11.1,546.0,11.0,,,757.85833603088
Singapore,16.2,10.2,3.5,2.4,,20.8,13.1,0.0,,,,,84734.2559206054
Slovakia,25.6,20.1,6.2,4.3,1.5,13.6,9.4,7.3,,,172.0,,24491.3771867262
Slovenia,26.0,19.5,6.9,5.7,,14.0,11.5,0.0,,,169.0,,32610.110922729
SolomonIslands,23.1,29.2,3.3,,,10.5,,0.0,264.0,16.0,,,2041.6364912646
Somalia,0.0,7.0,,0.3,0.2,,4.2,2.9,1969.0,18.7,,,597.458854603159
SouthAfrica,28.8,19.7,5.0,6.6,4.6,15.3,18.5,23.4,1030.0,0.3,,,6022.5425418935
SouthSudan,,,0.9,1.5,,2.1,8.1,,2061.0,15.9,,,478.0
Spain,17.7,19.9,7.7,4.6,,15.2,9.2,0.0,,,4043.0,,33509.0127982139
SriLanka,8.2,6.9,1.9,1.2,0.4,9.5,8.7,6.0,19.0,0.0,,,3827.96495637489
StateofPalestine,23.4,20.2,,5.4,,,,0.0,2336.0,9.4,,,3372.35
Sudan,8.8,16.2,0.8,,0.9,7.9,,5.7,1575.0,3.1,,,2183.44140625
Suriname,,,3.3,3.8,,10.0,13.9,,59.0,1.7,,,5494.07409425517
Sweden,29.4,25.7,9.7,6.7,,19.6,13.5,0.0,,,5458.0,,55516.836477474
Switzerland,10.5,11.4,4.3,5.6,,11.7,14.6,0.0,,,4496.0,,99564.710026145
SyrianArabRepublic,,10.9,,,,,,0.0,8199.0,113.1,,,745.0
Tajikistan,13.9,10.1,1.9,5.4,0.8,7.0,20.4,7.6,612.0,4.1,,,1160.81187026311
Thailand,17.2,16.6,3.6,2.6,1.6,13.5,11.9,9.6,628.0,0.1,,,7182.02525812415
Timor-Leste,51.5,33.1,7.3,3.0,5.3,7.0,7.5,16.0,233.0,6.9,,,1502.51963828284
Togo,15.1,12.6,0.6,3.8,0.1,2.6,14.8,0.9,450.0,5.2,,,985.697512629974
Tokelau,,,,,,,,,,,,,7445.0
Tonga,25.1,30.7,3.6,5.6,,7.3,9.8,0.0,307.0,54.7,,,5218.0
TrinidadandTobago,,,3.3,2.9,3.7,11.1,7.9,,,,,,20016.1503008736
Tunisia,,20.6,4.1,6.2,0.5,12.4,22.7,2.3,1290.0,2.8,,,3977.69516639644
Türkiye,20.5,13.6,3.6,2.6,1.1,11.5,8.8,8.3,892.0,0.1,,,13105.6585678319
Turkmenistan,,9.8,0.9,3.8,,8.7,28.6,0.0,15.0,0.0,,,8232.65225980002
TurksandCaicosIslands,,,,3.3,,,14.3,,,,,,30348.8114409139
Tuvalu,,,10.1,,,8.2,,,66.0,79.9,,,6344.7750188689
Uganda,13.8,9.5,1.1,2.6,0.4,4.9,8.6,4.3,2147.0,4.7,,,1002.30913917142
Ukraine,24.7,41.7,4.1,5.9,5.4,10.2,8.5,13.0,29293.0,16.9,,,5069.703125
UnitedArabEmirates,3.0,14.5,3.4,3.9,,12.9,14.8,0.0,,,,,49040.6947525825
UnitedKingdom,36.8,20.7,10.3,5.4,,22.4,11.2,0.0,,,15761.0,,49463.8554617343
UnitedRepublicofTanzania,14.0,8.1,0.9,3.3,0.2,5.1,13.7,1.9,2729.0,3.6,,,1224.48962402344
UnitedStates,13.0,13.9,9.6,5.4,,21.4,12.7,0.0,,,60329.0,,82769.4122114216
Uruguay,20.4,13.8,6.9,4.4,1.1,22.4,15.4,8.3,1.0,0.1,,,22797.8111731861
Uzbekistan,18.0,16.1,3.0,5.3,0.8,9.9,21.4,4.7,1672.0,1.9,,,2849.51461071911
Vanuatu,30.5,20.6,1.2,2.2,,2.8,5.0,0.0,129.0,10.6,,,3515.23633611798
Venezuela(BolivarianRepublicof),,,1.4,,,5.5,16.6,,272.0,,,,3738.0
VietNam,,8.9,2.0,2.9,1.6,9.0,15.4,17.4,19.0,0.0,,,4282.08851724506
Yemen,,9.1,0.4,,,2.2,,0.0,3696.0,38.0,,,477.409028678688
Zambia,22.0,14.3,2.8,3.6,0.2,9.3,13.9,1.4,1865.0,6.7,,,1330.72780576709
Zimbabwe,8.1,16.7,0.9,2.1,0.3,5.2,15.7,2.1,789.0,2.9,,,2156.0340040333
